genre_id,genres
tt1956697,"action, thriller"
tt2053397,"drama, thriller, action"
tt2233762,"documentation, history"
tt1910649,comedy
tt1605790,"fantasy, drama, family, action"
tt1512220,"comedy, crime, drama"
tt2091312,drama
tt2590280,drama
tt6442670,animation
tt2057445,"romance, drama, thriller"
tt12199688,"family, drama"
tt2590214,"comedy, drama"
tt7131690,"drama, comedy, romance"
tt6273116,drama
tt2198109,"comedy, romance"
tt1670646,"drama, romance, war, european"
tt2442560,"crime, drama, european"
tt3006802,"scifi, romance, drama, fantasy"
tt2560140,"action, scifi, animation, horror, drama, fantasy"
tt2632424,"scifi, drama, fantasy, horror"
tt2741602,"thriller, drama, crime"
tt3868860,"reality, romance, european"
tt3107288,"drama, scifi, family, animation, action"
tt1109624,"comedy, family, fantasy, animation, european"
tt2710394,"drama, fantasy, history"
tt3235888,"horror, thriller"
tt2084970,"thriller, drama, war"
tt2661044,"scifi, drama, action"
tt1979320,"drama, action, sport, european"
